year,estate,room2
2007,mature,
2007,non-mature,
2008,mature,1050.0
2008,non-mature,
2009,mature,
2009,non-mature,
2010,mature,1266.6666666666667
2010,non-mature,
2011,mature,1246.6666666666667
2011,non-mature,
2012,mature,1300.0
2012,non-mature,
2013,mature,1500.0
2013,non-mature,
2014,mature,1632.5
2014,non-mature,
2015,mature,1582.5
2015,non-mature,1615.0
2016,mature,1510.0
2016,non-mature,1575.0
2017,mature,1470.0
2017,non-mature,1560.0
2018,mature,1395.0
2018,non-mature,1550.0
2019,mature,1437.5
2019,non-mature,1550.0
2020,mature,1475.0
2020,non-mature,1530.0
2021,mature,1300.0
2021,non-mature,1640.0
2022,mature,1480.0
2022,non-mature,1865.0
